EcoDistrict,Province,Acid_Soil,Poor_Soil,Percentage
773,SK,0,-1,0.00626688
773,SK,0,0,0.10818109
772,SK,-1,-1,0.92122578
772,SK,-1,0,0.07877422
772,SK,0,-1,0
772,SK,0,0,0
771,AB,-1,-1,0.22483635
771,AB,-1,0,0.40796231
771,AB,0,-1,0.36720134
771,AB,0,0,0
771,SK,-1,-1,0.89139663
771,SK,-1,0,0.10860337
771,SK,0,-1,0
771,SK,0,0,0
770,SK,-1,-1,0.66232569
770,SK,-1,0,0.33517937
770,SK,0,-1,0.00249494
770,SK,0,0,0
769,AB,-1,-1,0.86881443
769,AB,-1,0,0.13118557
769,AB,0,-1,0
769,AB,0,0,0
768,SK,-1,-1,1
768,SK,-1,0,0
768,SK,0,-1,0
768,SK,0,0,0
767,SK,-1,-1,0.72259301
767,SK,-1,0,0.22516232
767,SK,0,-1,0.00506944
767,SK,0,0,0.04717524
766,MB,-1,-1,0.01107555
766,MB,-1,0,0.48206337
766,MB,0,-1,0.00597983
766,MB,0,0,0.50088125
765,MB,-1,-1,0.00326037
765,MB,-1,0,0.64601205
765,MB,0,-1,0.06572149
765,MB,0,0,0.28500609
764,MB,-1,-1,0.12030373
764,MB,-1,0,0.18504511
764,MB,0,-1,0.03192107
764,MB,0,0,0.66273009
763,MB,-1,-1,0.12496935
763,MB,-1,0,0.13493467
763,MB,0,-1,0.6609007
763,MB,0,0,0.07919529
763,SK,-1,-1,1
763,SK,-1,0,0
763,SK,0,-1,0
763,SK,0,0,0
762,SK,-1,-1,0.90387735
762,SK,-1,0,0.05122464
762,SK,0,-1,0.04489801
762,SK,0,0,0
761,SK,-1,-1,0.61078992
761,SK,-1,0,0.15848334
761,SK,0,-1,0
761,SK,0,0,0.23072674
760,MB,-1,-1,0
760,MB,-1,0,0.74672489
760,MB,0,-1,0
760,MB,0,0,0.25327511
760,SK,-1,-1,0.78693832
760,SK,-1,0,0.04277671
760,SK,0,-1,0.15587908
760,SK,0,0,0.0144059
759,MB,-1,-1,0.26966292
